piece,method,jitter_sigma,rot_deg,trans_norm,rmse,iterations,total_ms,cov_ms,gt_r00,gt_r01,gt_r02,gt_r10,gt_r11,gt_r12,gt_r20,gt_r21,gt_r22,gt_tx,gt_ty,gt_tz
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,50,0,4.73862,20,18434.1,0,0.681664,-0.712454,-0.166565,0.629451,0.687091,-0.362902,0.372996,0.142533,0.91682,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,50,0,0.00173135,15,48243,12991,0.681664,-0.712454,-0.166565,0.629451,0.687091,-0.362902,0.372996,0.142533,0.91682,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,50,0.005,1.91424,20,17305.1,0,0.86491,0.397489,-0.306485,-0.104253,0.739567,0.66496,0.49098,-0.543179,0.681098,0.00150367,0.0044263,0.00177395
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,50,0.005,0.00173422,20,66587.4,13652,0.86491,0.397489,-0.306485,-0.104253,0.739567,0.66496,0.49098,-0.543179,0.681098,0.00150367,0.0044263,0.00177395
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,50,0.01,3.96152,20,18218,0,0.67562,-0.399253,-0.619787,0.555412,0.828473,0.0717617,0.484826,-0.39272,0.781482,-0.00390268,0.00877135,-0.00279866
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,50,0.01,0.00173126,20,70483.5,13778.8,0.67562,-0.399253,-0.619787,0.555412,0.828473,0.0717617,0.484826,-0.39272,0.781482,-0.00390268,0.00877135,-0.00279866
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,100,0,12.3176,20,27579.9,0,0.032701,-0.56172,-0.826681,-0.323875,0.776536,-0.540459,0.945535,0.285415,-0.156534,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,100,0,12.6087,20,90008.3,13960.5,0.032701,-0.56172,-0.826681,-0.323875,0.776536,-0.540459,0.945535,0.285415,-0.156534,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,100,0.005,12.0583,20,27808.6,0,0.949089,0.167931,0.266514,-0.237878,-0.172559,0.955844,0.206505,-0.970578,-0.123826,-0.000801195,0.00381497,-0.00313115
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,100,0.005,11.9343,20,77653.7,13675,0.949089,0.167931,0.266514,-0.237878,-0.172559,0.955844,0.206505,-0.970578,-0.123826,-0.000801195,0.00381497,-0.00313115
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.001,100,0.01,13.2885,20,26339.3,0,-0.165346,0.346504,-0.923361,-0.156347,0.915199,0.371438,0.973764,0.205781,-0.0971494,-0.000137489,-0.00950501,0.00310418
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.001,100,0.01,13.4133,20,82109.2,13843.8,-0.165346,0.346504,-0.923361,-0.156347,0.915199,0.371438,0.973764,0.205781,-0.0971494,-0.000137489,-0.00950501,0.00310418
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.01,50,0,1.84172,20,20885.4,0,0.836557,0.2858,0.46743,0.0617017,0.798588,-0.598707,-0.544395,0.529693,0.65043,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.01,50,0,0.0173212,20,72295.3,13652.7,0.836557,0.2858,0.46743,0.0617017,0.798588,-0.598707,-0.544395,0.529693,0.65043,0,0,0
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.01,50,0.005,2.20257,20,18990.3,0,0.665435,-0.206638,-0.717285,0.367164,0.927248,0.0734983,0.649913,-0.312269,0.692893,-0.00122018,0.00124573,-0.00468608
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.01,50,0.005,0.0173364,20,67906.6,13810,0.665435,-0.206638,-0.717285,0.367164,0.927248,0.0734983,0.649913,-0.312269,0.692893,-0.00122018,0.00124573,-0.00468608
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,icp,0.01,50,0.01,6.23166,20,20438.3,0,0.654113,0.747931,-0.112854,-0.756301,0.644334,-0.113324,-0.012043,0.159478,0.987128,0.0060187,-0.00597611,-0.0052973
Riedones3D_Registration_Benchmark/test/die_obverse_beard_0002b/L0002D.ply,gicp,0.01,50,0.01,0.0173481,20,66182.8,14080,0.654113,0.747931,-0.112854,-0.756301,0.644334,-0.113324,-0.012043,0.159478,0.987128,0.0060187,-0.00597611,-0.0052973
