jitter_sigma,rot_deg,trans_norm,method,count,rmse_mean,rmse_std
0.001,50,0,gicp,1,0.00173135,0
0.001,50,0,icp,1,4.73862,0
0.001,50,0.005,gicp,1,0.00173422,0
0.001,50,0.005,icp,1,1.91424,0
0.001,50,0.01,gicp,1,0.00173126,0
0.001,50,0.01,icp,1,3.96152,0
0.001,100,0,gicp,1,12.6087,0
0.001,100,0,icp,1,12.3176,0
0.001,100,0.005,gicp,1,11.9343,0
0.001,100,0.005,icp,1,12.0583,0
0.001,100,0.01,gicp,1,13.4133,0
0.001,100,0.01,icp,1,13.2885,0
0.01,50,0,gicp,1,0.0173212,0
0.01,50,0,icp,1,1.84172,0
0.01,50,0.005,gicp,1,0.0173364,0
0.01,50,0.005,icp,1,2.20257,0
0.01,50,0.01,gicp,1,0.0173481,0
0.01,50,0.01,icp,1,6.23166,0
0.01,100,0,gicp,1,0.0173434,0
0.01,100,0,icp,1,1.97354,0
0.01,100,0.005,gicp,1,6.01638,0
0.01,100,0.005,icp,1,9.72897,0
0.01,100,0.01,gicp,1,0.0743172,0
0.01,100,0.01,icp,1,8.31565,0
0.1,50,0,gicp,1,0.174099,0
0.1,50,0,icp,1,0.561822,0
0.1,50,0.005,gicp,1,2.52759,0
0.1,50,0.005,icp,1,6.33296,0
0.1,50,0.01,gicp,1,0.9479,0
0.1,50,0.01,icp,1,3.49978,0
0.1,100,0,gicp,1,11.6831,0
0.1,100,0,icp,1,11.792,0
0.1,100,0.005,gicp,1,10.2014,0
0.1,100,0.005,icp,1,11.6413,0
0.1,100,0.01,gicp,1,0.857933,0
0.1,100,0.01,icp,1,2.86534,0
