angle_deg,seed,speedup_solve_x,speedup_e2e_x,success_ok,success_tot,rot_err_deg,trans_err_norm
0.0,1,86.1828,28.1474,8,8,0.018,0.0004
0.0,2,85.1054,27.6552,8,8,0.0175,0.0004
0.0,3,97.8689,28.3365,8,8,0.0176,0.0003
0.0,4,87.4481,27.4462,8,8,0.0167,0.0003
0.0,5,81.239,27.7026,8,8,0.0169,0.0003
10.0,1,93.3247,29.727,8,8,0.0154,0.0003
10.0,2,88.7034,29.4212,8,8,0.0164,0.0004
10.0,3,91.9825,29.7337,8,8,0.0154,0.0003
10.0,4,83.3595,29.2769,8,8,0.0162,0.0003
10.0,5,87.8631,29.2429,8,8,0.0163,0.0002
20.0,1,89.9104,29.8127,8,8,0.0177,0.0003
20.0,2,88.833,30.0673,8,8,0.018,0.0004
20.0,3,91.5467,29.7842,8,8,0.015,0.0002
20.0,4,88.1822,29.8544,8,8,0.0148,0.0002
20.0,5,85.9805,30.099,8,8,0.0171,0.0002
30.0,1,100.8084,31.9567,8,8,0.015,0.0003
30.0,2,100.3762,31.9647,8,8,0.0159,0.0003
30.0,3,93.0935,31.5331,8,8,0.0173,0.0004
30.0,4,89.0314,31.0244,8,8,0.0172,0.0003
30.0,5,89.8951,31.4083,8,8,0.0167,0.0003
40.0,1,97.279,32.4148,8,8,0.0146,0.0004
40.0,2,92.3846,31.8469,8,8,0.0156,0.0003
40.0,3,90.5475,31.9439,8,8,0.0149,0.0003
40.0,4,99.8074,33.0632,8,8,0.0153,0.0003
40.0,5,96.7964,33.1824,8,8,0.017,0.0002
50.0,1,98.4278,33.873,8,8,0.0138,0.0004
50.0,2,95.937,33.4291,8,8,0.0157,0.0004
50.0,3,97.2465,33.7504,8,8,0.014,0.0003
50.0,4,90.869,33.1356,8,8,0.0142,0.0004
50.0,5,94.4139,33.8641,8,8,0.0189,0.0003
60.0,1,101.5733,35.2877,8,8,0.0143,0.0003
60.0,2,107.6866,35.704,7,8,0.0165,0.0005
60.0,3,99.642,35.6573,8,8,0.0156,0.0004
60.0,4,94.5776,35.1404,8,8,0.0153,0.0004
60.0,5,98.5981,36.8767,8,8,0.0194,0.0004
